study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
time course of androgen-regulated transcripts in lncap cells,null,null,null,null,androgen
tip60-dependent acetylation on h2az lysine 7 regulates the transcriptional program for genome stability [rna-seq],null,null,null,null,lysine
top2b disturbed the quality of human oocytes with advanced maternal age,null,null,quality,human,quality
trans-chalcone increases p53 activity,null,null,null,activity,null
transcription elongation rate affects nascent histone pre-mrna folding and 3' end processing,null,null,pigmented layer of retina,null,null
transcription profile analysis of wild type and irf9-/- human monocytic thp1 cells in response to type i interferons,null,null,null,human,null
"transcriptional alteration after ionizing radiation exposure in human fibroblasts, ipscs and npcs",null,null,null,radiation exposure,null
transcriptional change of thp-1 after hsv-1ul37wt or hsv-1ul37c819s,null,null,pituitary stalk,null,null
transcriptional changes in pancreatic cancer cells associated with gemcitabine resistance,malignant pancreatic neoplasm,null,null,pancreatic cancer,gemcitabine
transcriptional differences between skin from patients with atopic dermatitis and control skin obtained from the healthy margins of mohs surgery patients,skin neoplasm,skin,skin of body,atopic dermatitis,null
transcriptional effect of etv1 knockdown in melanoma cells,melanoma (disease),null,null,melanoma,null
transcriptional modulation of human endogenous retroviruses in primary cd4+ t cells following vorinostat treatment,null,null,null,human,vorinostat
transcriptional profile of caov2 ovarian cancer cells with taz silencing,ovarian cancer,null,null,ovarian cancer,null
transcriptional profile of caov2 ovarian cancer cells with yap silencing,ovarian cancer,null,null,ovarian cancer,null
transcriptional profile of human stat1-/- fibroblasts expressing ifi6 or empty control vector,null,null,null,human,null
transcriptional profiling identifies novel regulators of macrophage polarization [rna-seq],null,macrophage,macrophage,null,rna
transcriptional profiling of h9 human embronic stem cells (hesc) and hesc derived retinal pigment epithelium (rpe),null,stem,pigmented layer of retina,human,null
transcriptional profiling of ls1034 cells treated with tepoxalin,null,null,null,null,null
transcriptional profiling of pbmc from patients with agvhd and patients without agvhd after allohsct,null,peripheral blood mononuclear cell,null,agvhd,null
transcriptional profiling of werner syndrome (ws) ipsc-derived msc and the isogenic gene-edited controls,werner syndrome,null,mesenchymal stem cell,null,null
transcriptional responses of human insulinoma cells to acute cytokine exposure,pancreatic insulinoma,null,null,human,null
transcriptome alteration upon znf281 depletion in hcc cells,hepatocellular carcinoma,null,null,null,null
transcriptome analyses in aortic dissection and normal human aorta,null,aorta,aorta,aortic dissection,null
transcriptome analysis in ht29 and sw480 cells depleted of prdx2,null,null,null,null,null
transcriptome analysis of circmrps35 mediated mrna expression profiles,null,null,null,null,null
transcriptome analysis of cultured human alveolar epithelial type 2 cells,null,null,null,human,null
transcriptome analysis of human oxr1 depleted cells reveals its role in regulating the p53 signaling pathway,null,null,rostral octaval nerve motor nucleus,human,role
transcriptome analysis of human reninomas as an approach to understanding juxtaglomerular cell biology,null,juxtaglomerular cell,kidney granular cell,human,null
transcriptome analysis of ipsc-derived keratinocytes with or without a disease-associated tp63 mutation,disease or disorder,null,null,null,null
transcriptome analysis of sh-sy5y cells after knockdown of circslc45a4,null,null,null,null,null
transcriptome analysis of the glioma stem cells  infected with zikv,glioma,stem,null,glioma,null
transcriptome analysis of tp53-r248l overexpressed 19ns patient-derived glioblastoma cells,adult glioblastoma,null,null,glioblastoma,null
transcriptome analysis to investigate the role of edc3 in intellectual disability,intellectual disability,null,rostral octaval nerve motor nucleus,intellectual disability,role
transcriptome and ribosome profiling of xrn1-null hek293t human cell line generated by crispr/cas9 gene editing,null,null,cell,human,null
transcriptome characterization of human periodontal ligament cell clones (dmem medium),null,periodontal ligament cell,periodontal ligament,human,null
transcriptome profiling in primary human skeletal myotubes with mondoa knockdown,null,null,null,human,null
transcriptome profiling of caki2 cells re-expressing polybromo-1 (pbrm1),null,null,null,null,null
transcriptome profiling of influenza a virus-infected lung epithelial (a549) cells with lariciresinol-4-ß-d-glucopyranoside treatment,influenza,lung,lung,influenza,treatment
transcriptome sequencing of differentially expressed genes in acne inversa (ai) patients with ncstn mutation and healthy individuals,hidradenitis suppurativa,null,null,acne inversa,null
transcriptome sequencing of human induced pluripotent stem cell-derived brain endothelial cells.  overall design: examined one time point (day 10 of differentiation) from two different rounds of ipsc bmecs differentiation. sample name: cl1 (clone 1) total samples: 2 (two different rounds of differentiation),endotheliitis,hipsc cell,pluripotent stem cell,human,null
transcriptome studies of marine natural products 4a and 4d on non-small cell lung cancer a549 cells,non-small cell lung carcinoma (disease),lung,cell,non-small cell lung cancer,null
transcriptome-wide analyses of cstf64-rna interactions in global regulation of mrna alternative polyadenylation,null,null,null,interactions,rna
transcriptome-wide off-target rna editing induced by crispr-guided dna base editors [abe-max],null,null,null,null,rna
transcriptomic analysis of differential expressed genes of human tonsillar epithelial cells ut-scc-60b in response to ev71 infection,infectious disease,null,semicircular canal,human,null
transcriptomic analysis of etv6/runx1 ko lymphoid cell line generated by crispr/cas9 showed a distinct expression signature and a deregulation of its downstream signaling genes,null,lymphoid cell line,cell,cell,null
transcriptomic analysis of the effect of histone h4 k31r mutation in u2os cells,null,null,null,null,null
transcriptomic analysis of the hotair-regulated genes,null,null,null,null,null
transcriptomic profiling of cleavage-resistant ripk1 induced autoinflammation syndrome patients,syndromic disease,null,null,null,null
"transcriptomics analysis of gene expression in normal and ythdc1, srsf1, srsf3, srsf7, srsf9 or srsf10 deficient human hela cells",null,null,null,human,null
transposon mutagenesis reveals fludarabine-resistance mechanisms in chronic lymphocytic leukemia,b-cell chronic lymphocytic leukemia,null,null,chronic lymphocytic leukemia,fludarabine
transriptional profiling upon heat shock and recovery in cells deficient for fbxw7 and their wild type counterpart.,null,null,null,shock,null
trapseq: an rna sequencing-based pipeline for the identification of genetrap insertions in mammalian cells,null,null,null,null,rna
treatment paradigms for retinal and macular diseases using 3-d retina cultures derived from human reporter pluripotent stem cell lines,disease or disorder,retina,retina,human,treatment
truncating variant in myof gene is associated with limb-girdle type muscular dystrophy and cardiomyopathy,muscular dystrophy,limb,limb,muscular dystrophy,null
tumor exosome integrins determine organotropic metastasis,neoplasm (disease),null,null,metastasis,null
tumor hypoxia causes dna hypermethylation by reducing tet activity (rna-seq),neoplasm (disease),null,null,hypoxia,rna
twist1-induced microrna-424 drives an intermediate epithelial-to-mesenchymal transition that opposes metastasis,null,null,null,metastasis,null
u1 snrnp regulates cancer cell migration and invasion in vitro,cancer,null,malignant cell,cancer,null
ultraefficient irclip platform for characterization of protein-rna interactions,null,null,protein,protein,protein
unlocking the transcriptomic potential of formalin-fixed paraffin embedded clinical tissues: comparison of gene expression profiling approaches [ampliseq],null,null,null,null,formaldehyde
unraveling the molecular signature of extracellular vesicles from endometrial-derived mesenchymal stem cells: potential modulatory effects and therapeutic applications,null,stem,null,vesicles,null
uv stress regulates differential associations of brd4 and p-tefb with chromatin and modulates transcription by brd4 acting as either activator or repressor,null,null,null,stress,null
"vascular histone deacetylation by pharmacological hdac inhibition [saha, rna-seq]",null,null,null,null,rna
vh:vl b cell sequence data,null,b-lymphocyte,b cell,cell,null
viral delivery of gdnf promotes functional integration of human stem cell grafts in parkinson's disease,parkinson disease,stem,stem cell,delivery,null
viral hijacking of the tent4-zcchc14 complex protects viral rnas via mixed tailing [tail-seq],null,tail,tail,null,null
viral shrna knockdown of ins promotor activity in endoc-ßh1 cells ,null,null,insular cortex,activity,null
vitamin c dependent kdm6 demethylation specifies a functional chromatin state for endothelial-to-hematopoietic transition [rna-seq],endotheliitis,null,null,vitamin c,rna
wdr5 regulates emt and metastasis in breast cancer by activating tgfb pathway [rna-seq ccl],breast cancer,breast,thalamic eminence,metastasis,rna
whole transcriptome analysis of ipsc-derived hepatic organoids cultures,null,null,null,null,null
whole transcriptome sequencing of hopx-depleted neonatal human keratinocytes,null,null,null,human,null
whole transcriptomes analyses of hek293ft cell line treated with islr secreted supernatant or empty vector control supernatant,null,hek-293ft cell,cell,cell,null
x-ray induced dna-hydroxymethylation changes,null,null,null,x-ray,null
yylnct acts as a gatekeeper of the mesodermal transcriptional program by local modulation of dnmt3b [human_2],null,null,null,human,null
zika virus targets human cortical neural precursors and attenuates their growth,zika virus infectious disease,null,growth,virus,null
zikv infection of monocytes activates inflammasome pathways,infectious disease,null,null,infection,null
genome-wide definition of regulatory elements in hematopoietic stem cell differentiation,null,hematopoietic stem cell,hematopoietic stem cell,cell,definition
genomic determination of the glucocorticoid response reveals unexpected mechanisms of gene regulation,null,null,null,null,glucocorticoid
identification of mir-4423 as a primate-specific microrna highly expressed in ciliated airway epithelium and associated with lung cancer [high throughput sequencing],lung cancer,respiratory epithelium,respiratory tract epithelium,lung cancer,null
immunoglobulin repertoire sequencing of a patient with hcv-associated cryoglobulinemia,cryoglobulinemia,null,null,cryoglobulinemia,null
preliminary report of transplantation of human fetal retinal pigment epithelial cells on age-related macular degeneration patients,age-related macular degeneration,null,null,human,null
primary b cells infected with epstein-barr virus,null,null,null,virus,null
rna-seq of small rna molecules from hmle and tgf-beta-treated hmle ('meshmle') cells.,null,null,null,null,rna
transcriptome analysis of pc9 cells with gefitinib or/and hypoxia treatment and comparison with gefitinib resistant pc9 cells and aldh positive pc9 cells,null,null,null,hypoxia,gefitinib
viral hijacking of the tent4-zcchc14 complex protects viral rnas via mixed tailing [fclip-seq],null,null,null,null,null
xpo5 is required for mirna biogenesis and promotes primary mirna processing independent of rangtp,null,null,null,null,null
akt activation mediates acquired resistance to fibroblast growth factor receptor inhibitor bgj398,acquired,fibroblast,fibroblast,receptor,null
altered hydroxymethylation is seen at regulatory regions in pancreatic cancer and regulates oncogenic pathways [rna-seq],malignant pancreatic neoplasm,null,null,pancreatic cancer,rna
analysis of the polya+ rna of lps-treated human cd14+ monocytes,van der woude syndrome,null,null,human,rna
circular rna sequencing in lung adenocarcinoma cell line a549,lung adenocarcinoma,lung adenocarcinoma cell line,lung,lung adenocarcinoma,rna
defining transcriptional signatures of human hair follicle cell states,null,hair follicle,hair follicle cell,human,null
description of the bronchial microbiome in severe copd patients colonized by pseudomonas,chronic obstructive pulmonary disease,null,null,copd,null
detection of structural variation in rpe-1 cell line,null,htert-rpe1 cell,pigmented layer of retina,cell,null
human inflammatory mucosal t cells in the female reproductive tract are poised to participate in immunity to infection,infectious disease,reproductive system,female reproductive system,human,null
systematic assessment of next-generation sequencing for quantitative small rna profiling: human plasma pool,null,blood plasma,blood plasma,human,rna
transcriptional profiling of human bronchial epithelial cell beas-2b exposed to diesel and biomass ultrafine particles,null,bronchial epithelial cell,bronchial epithelial cell,human,null
benchmarking single-cell rna sequencing protocols for cell atlas projects  (c1ht small),null,null,cell,cell,rna
estradiol-regulated dependence receptor unc5a restricts estradiol signaling and luminal to basal transition and metastasis of breast cancer,substance dependence,breast,signaling,estradiol,estradiol
functionally-defined therapeutic targets in diffuse intrinsic pontine glioma,diffuse intrinsic pontine glioma,null,null,diffuse intrinsic pontine glioma,null
mirna-seq expression profiling of huntington's disease and neurologically normal human post-mortem prefrontal cortex (ba9) brain samples,huntington disease,prefrontal cortex,postsubiculum,huntington's disease,null
multi-parameter analysis of biobanked human bone marrow stromal cells shows little influence for donor age and mild comorbidities on phenotypic and functional properties,null,bone marrow,mesenchymal stem cell,human,null
transcriptomes of ipsc-derived and post-mortum hypothalamus neurons from obese and control donors,null,hypothalamus,postsubiculum,null,null
next-gen rna sequencing of human osteosarcoma tumors,pediatric osteosarcoma,null,null,human,rna
pre-eclampsia tac-seq,preeclampsia,null,pigmented layer of retina,pre-eclampsia,null
transcriptomic responses of human monocyte-derived dendritic cells to hiv and other innate stimuli,null,monocyte,monocyte,human,null
genomic analysis of peripheral t-cell lymphomas,null,t-lymphocyte,t cell,cell,null
intergenic disease-associated regions are abundant in novel regulatory transcripts,disease or disorder,null,null,null,null
mirnome reveals new insights into the molecular biology of field cancerization in gastric cancer,gastric cancer,null,anlage,gastric cancer,null
population rna-seq of human esc-derived cardiac derivatives,esterase c,null,embryonic stem cell,human,rna
strt rnaseq of thp-1 monocytic cells exposed to surface modified-gold nanoparticles,null,null,pituitary stalk,null,null
immunological fingerprints of controllers developing neutralizing hiv-1 antibodies,null,null,null,null,null
a multi-modal data resource for investigating geographic heterogeneity in patient-derived xenograft tumors,null,null,null,null,null
diverse repertoire of human adipocyte subtypes develops from transcriptionally distinct mesenchymal progenitor cells,null,adipocyte,fat cell,human,null
hiv-1 vpu exerts broad immunosuppressive effects by inhibiting nf-?b-dependent gene expression,null,null,null,null,null
integrated genomic analysis of sezary syndrome,sezary syndrome,null,null,sezary syndrome,null
ribozero gold paired-end rna-seq data from postmortem tissue of the dorsolateral prefrontal cortex of autism spectrum disorder samples and healthy control samples,autism spectrum disorder,prefrontal cortex,tissue,tissue,rna
transcriptional dissection of melanoma identifies a high-risk subtype underlying tp53 family genes and epigenome deregulation,melanoma (disease),null,null,melanoma,null
highly multiplexed and quantitative cell surface protein profiling using genetically barcoded antibodies,null,null,cell,cell,protein
transcriptomic profile of circulating memory cd4 t cells can differentiate between latent tuberculosis individuals and healthy controls,tuberculosis,null,memory,latent tuberculosis,null
identification of hiv transmitting cd11c+ human epidermal dendritic cells,null,null,dendritic,human,null
intratumoral heterogeneity and longitudinal changes in gene expression predict differential drug sensitivity in newly diagnosed and recurrent glioblastoma,hypersensitivity reaction disease,null,null,glioblastoma,null
"rna-sequencing of the mrna transcriptome in blood, across three time-points in severe psoriasis patients treated with the tumor necrosis factor (tnf) inhibitor, etanercept",psoriasis,blood,blood,psoriasis,rna
tp53 codon 72 polymorphism is associated with fgfr3 and ras mutation in non-muscle-invasive bladder cancer,childhood bladder carcinoma,muscle,muscle structure,invasive bladder cancer,null
transcriptome analysis of aml samples at diagnosis and relapse after hematopoietic stem cell transplantation (hsct),acute myeloid leukemia,hematopoietic stem cell,hematopoietic stem cell,cell,null
variation in single-nucleotide sensitivity of eclip derived from reverse transcription conditions,hypersensitivity reaction disease,null,null,null,nucleotide
the single cell transcriptional landscape of human lung adenocarcinoma (primary tumours and metastases),lung adenocarcinoma,lung,cell,cell,null
paf1 regulation of promoter-proximal pause release via enhancer activation,null,null,null,null,null
phenotype-driven precision oncology in patient-derived tumor models predict therapeutic response in squamous cell carcinoma,neoplasm (disease),null,cell,squamous cell carcinoma,null
human pluripotent stem cell-derived neural constructs for predictive neurotoxicity screening,toxic encephalopathy,hpsc cell,pluripotent stem cell,human,null
capture rna sequencing  for a panel of human cell lines,null,null,cell,human,rna
investigating the genetic basis of rna editing in humans,inherited,null,null,null,rna
resetting the epigenetic balance of polycomb/compass function at enhancers for cancer therapy,cancer,null,null,cancer,function
"transcriptional signature of lymphoblastoid cell lines of brca1, brca2 and non-brca1/2 high risk breast cancer families",breast cancer,lymphoblastoid cell line,cell,cell,null
whole-transcriptome brain expression and exon-usage profiling in major depression and suicide,unipolar depression,brain,brain,major depression,null
best practices for eclip experiments and analysis [uncertain quality],null,null,quality,null,quality
diurnal oscillations in human salivary microrna and microbial transcription,null,null,null,human,null
modeling progressive fibrosis with pluripotent stem cells identifies an anti-fibrotic small molecule,null,stem,molecule,fibrosis,molecule
rnaseq whole blood of dutch 500fg cohort,null,blood,blood,null,null
unlocking the transcriptomic potential of formalin-fixed paraffin embedded clinical tissues: comparison of gene expression profiling approaches [qiaseq],null,null,null,null,formaldehyde
papd5-mediated adenylation of mir-21,null,null,null,null,null
bcr repertoires from normal human donors,null,null,null,human,null
retrotransposon capturing and sequencing in human myogenesis,null,null,null,human,null
rna-seq timeline of fibroblast to neuron conversion using traditional nc media and nc+zpak media,null,fibroblast,fibroblast,null,rna
asxl1 circular splicing,null,null,null,null,null
signatures of circulating microrna in four sarcoma subtypes,sarcoma,null,null,sarcoma,null
"interpreting molecular role of dna variants associated with crohn''s disease through integrative analysis of open chromatin, epigenome and transcriptome data in diverse and relevant tissues and cells",disease or disorder,null,rostral octaval nerve motor nucleus,null,role
accelerated evolution of oligodendrocytes in human brain,null,brain,brain,human,null
charting in vitro beta cell differentiation by single cell rna sequencing,null,pancreatic beta cell,basophil cell of pars distalis of adenohypophysis,cell,rna
deep transcriptomic analysis of human vascular cells identifies novel risk genes for common vascular diseases,not rare,null,null,human,null
parental allele specific single-cell transcriptome dynamics reveal incomplete epigenetic reprogramming in human female germ cells,null,germ,cell,cell,null
regulation of mrna half-life by an inhibitor of human decapping enzyme dcp2 following transcription shutoff in hek293t cells,null,null,life cycle,human,null
"rna-sequencing of the small-rna transcriptome in blood, across three time-points in severe psoriasis patients treated with the tumor necrosis factor (tnf) inhibitor, etanercept",psoriasis,blood,blood,psoriasis,rna
rna-seq comparison of fetal lung and cultured fetal lung derived organoids with pluripotent stem cell derived lung organoids,lung neoplasm,lung,lung,cell,rna
nasal allergen challenge and environmental exposure chamber challenge: a comparison of clinical and biological responses to cat allergen,null,null,null,environmental exposure,null
rnaseq and chipseq: therapeutic targeting of the cbp/p300 bromodomain for the treatment of castration resistant prostate cancer,red color blindness,prostate gland,prostate gland,prostate cancer,treatment
hla-sensitized kidney transplant recipient heavy chain b-cell receptor sequencing,null,kidney,kidney,kidney transplant,null
bcr repertoire sequencing following 2009 pandemic influenza vaccination,influenza,null,null,influenza,null
genome-wide profiling of mirna expression dynamics in monocyte-derived dendritic cells following infection with a panel of intra-cellular bacteria,infectious disease,monocyte,monocyte,infection,null
rna-seq of definitive endoderm and pancreatic progenitor cells derived in vitro from human pluripotent stem cells in order to study the role of transcription factor gata6 in human pancreas development,pancreatic neoplasm,endoderm,definitive endoderm,human,rna
single cell rna-sequencing of day 15 cells derived from the directed differentiation of human ipscs towards lung epithelium,lung neoplasm,lung epithelium,cell,cell,rna
analysis of pre-mrna splicing trans-regulation in human lymphoblastoid cell lines,null,lymphoblastoid cell line,pigmented layer of retina,human,null
agr_project___african_genome_resource__total_rna_sequencing_for_1000_genomes_african_populations,null,null,null,null,rna
cleantag method validation raw sequence reads,null,null,null,null,null
comprehensive genomic characterization of acral melanoma,acral lentiginous melanoma (disease),null,null,melanoma,null
context specificity of the emt transcriptional response,null,null,thalamic eminence,null,null
effect of mtorc1 and 2 inhibition on myofibroblast global gene expression ,null,myofibroblast,null,null,null
eif4a3 associated splicing and nonsense mediated decay defined by a systems analysis with novel small molecule inhibitors,null,null,molecule,null,molecule
epigenetic footprint of hepatoblastoma defines a novel integrative molecular classification with clinical implications [rna-seq],hepatoblastoma,null,null,hepatoblastoma,rna
functional studies of rare genetic variants causally connected with alzheimer''s disease in the polish population,rare,null,null,null,null
high-dimensional transcriptional analyses of uc colon comparing rnalater to dmso collection method,null,colon,colon,null,dimethyl sulfoxide
human naïve pluripotent stem cells exhibit x chromosome dampening and x-inactivation,null,stem,null,human,null
inhibiting wnt and notch in renal cancer stem cells: implications for human patients,kidney cancer,stem,null,renal cancer,null
massively-parallel functional characterization of mapk1 missense mutants,null,null,null,null,null
"ramu data: this data was generated from illumina platform, both of wes and rna-seq.",null,null,null,null,rna
single cell rna-seq of the human long-term self-renewing neuroepithelial-like stem cell line  sai2,null,stem,cell,cell,rna
t-cell receptor repertoire in mf (4),null,t-lymphocyte,t cell,cell,null
tumor and stromal reaction under drug treatment in eus-derived xenografts of human pancreatic adenocarcinoma,neoplasm (disease),null,null,human,treatment
widespread and functional circular rna  in glioblastoma,adult glioblastoma,null,null,glioblastoma,rna
functional characterisation of monocyte-derived dendritic cells through transcriptomics,null,monocyte,monocyte,null,null
b cell repertoire in myasthenia gravis,myasthenia gravis,b-lymphocyte,b cell,cell,null
assessment of a highly multiplexed rna sequencing platform and comparison to existing high-throughput gene expression profiling techniques [sfl],null,null,null,null,rna
spatial and single-cell transcriptional profiling identifies functionally distinct human dermal fibroblast subpopulations,null,dermal fibroblast,cell,cell,null
ccr8 expression defines tissue-resident memory t cells in human skin,skin neoplasm,skin,tissue,tissue,null
mapping the human dc lineage through the integration of high dimensional techniques,null,null,null,human,null
bacterial sepsis triggers an antiviral response that causes translation shutdown,bacterial infectious disease with sepsis,null,null,bacterial sepsis,null
characterizing gene expression in lung tissue of copd subjects using rna-seq,lung neoplasm,lung,lung,tissue,rna
"digitalis-like compounds facilitate redifferentiation of non-medullary thyroid cancer through intracellular ca2+, cfos and autophagy dependent pathways",medullary thyroid gland carcinoma,thyroid gland,thyroid gland,medullary thyroid cancer,null
stromal fibroblasts drive single cell heterogeneity in pancreatic cancer,malignant pancreatic neoplasm,null,cell,cell,null
interferon gamma mrna signature in tumor biopsies predicts outcomes in patients with non–small-cell lung carcinoma or urothelial cancer treated with durvalumab,neoplasm (disease),lung,cell,cell,null
feeder-free mrna reprogramming of urine-derived cells: combining a faithful reprogramming method with a readily accessible cell type,null,urine,urine,cell,null
gene expresssion in human ipsc-derived neurons from normal and spg3a donors,hereditary spastic paraplegia 3a,null,null,human,null
probiotics to enhance influenza vaccine immunogenicity:transcriptomic profile of whole blood cells from elderly subjects fed probiotic lactobacillus rhamnosus gg atcc 53103 (lgg) in a phase i open label study.,influenza,blood,blood,influenza,lactobacillus rhamnosus gg
a novel computational complete deconvolution method using rna-seq data,null,null,null,null,rna
detection of structural variation in rpe-1 cell line (raw sequence fastq files),null,htert-rpe1 cell,pigmented layer of retina,cell,null
electrophysiological properties of human ß-cell lines endoc-ßh1 and  ßh2 conform with human ß-cells,null,null,cell,human,null
endoc-ßh1 multiomic profiling defines gene regulatory programs intrinsic to human ß cell identity and function,urethral intrinsic sphincter deficiency,null,cell,human,function
generation of induced neural stem cells from urine derived cells by synthetic mrna,null,stem,urine,null,null
genome-wide characterization of long nonpolyadenylated rnas,null,null,null,null,null
genome-wide identification of mrna 5-methylcytosine in mammals [rip_seq],null,null,null,null,null
high-throughput targeted long-read single cell sequencing reveals the clonal and transcriptional landscape of lymphocytes,rectum adenocarcinoma,null,abomasum,cell,null
human ipsc-derived gabaergic interneuron transplants attenuate neuropathic pain,null,interneuron,gabaergic interneuron,human,null
identification of downstream genes regulated by yap1 through knockdown and overexpression of yap1 in u251 cell with a stably expression of mutant app,null,u-251mg cell,cell,cell,null
identification of edited mirnas in glioblastoma,adult glioblastoma,null,null,glioblastoma,null
identification of the cellular rnas bound by mov10,null,null,null,null,null
integrated high-throughput screen to identify novel treatment leads for pediatric acute myeloid leukemia (aml),childhood acute myeloid leukemia,null,null,acute myeloid leukemia,treatment
locally transplanted human urine-induced nephron progenitor cells contribute to renal repair in mice kidney with diabetic nephropathy,diabetic nephropathy,urine,urine,human,null
mirna-seq from white blood cells of responders and non-responders (weight loss) to a hypocaloric mediterranean diet,null,blood,blood,white blood cells,null
next generation sequencing facilitates quantitative analysis of health donors and sle patients'' pbmc transcriptomes,systemic lupus erythematosus (disease),peripheral blood mononuclear cell,null,sle,null
rna deep sequencing analysis of glioma stem cells(gscs) and non-gscs,glioma,stem,null,glioma,rna
rna duplex map in living cells reveals higher order transcriptome structure,mutyh-related attenuated familial adenomatous polyposis,null,structure,null,rna
rna-seq analysis in ctrl and circnsun2 knockdown crc cells,colorectal carcinoma,null,null,null,rna
rna-seq of 143b cybrids-derived xenografts,null,null,null,null,rna
ror-? drives androgen-receptor expression and represents a therapeutic target in castration-resistant prostate cancer,prostate cancer,prostate gland,prostate gland,receptor,androgen
single cell transcriptome sequencing of gastric cancer cell lines,gastric cancer,gastric cancer cell,cell,cell,null
specific oxylipins enhance vertebrate hematopoiesis via the receptor gpr132,null,null,null,vertebrate,null
the transcriptome-wide alternative polyadenylation alteration in herbal formula yyjd-induced activity in a549 lung adenocarcinoma cells,lung adenocarcinoma,lung,lung,activity,null
whole genome sequencing of a normal karyotype aml cell line,acute myeloid leukemia,acute myeloid leukemia cell,cell,cell,null
acquired resistance to mek-cdk4/6 inhibitor combinations in cutaneous melanoma,acquired,null,null,melanoma,null
analysis of the clustered protocadherin (cpcdh) locus in human pluripotent stem and derived cells [rna-seq ii our of ii],null,stem,null,human,rna
biological effect of chronic mistranslation in mammalian cells,null,null,null,null,null
caspase-dependent apoptosis gene in gliomas,null,null,null,apoptosis,null
ccdc50s deficiency effect on hepatocellular carcinoma,hepatocellular carcinoma,null,null,hepatocellular carcinoma,null
cetch-seq  of mammalian transcription factors,null,null,null,null,null
changes in the transcriptome from 3d-cultured  mcf-7 cells,null,null,null,null,null
che-1 is targeted by c-myc to sustain proliferation in pre-b-cell acute lymphoblastic leukemia [rna-seq],b-cell acute lymphoblastic leukemia,pre-b-lymphocyte,proliferative region,cell,rna
crispr display: a modular method for locus-specific targeting of long noncoding rnas and synthetic rna devices in vivo [rip-seq],null,null,null,null,rna
effect of tnf-a on the function of k562 cells,null,null,null,null,function
elongation factor tfiis prevents transcription stress and r-loop accumulation to maintain genome stability [ rna-seq],null,null,null,stress,rna
endogenous trna fragments are expressed in a phosphaturic mesenchymal tumor and paget's associated osteosarcoma,phosphaturic mesenchymal tumor,null,null,phosphaturic mesenchymal tumor,null
epigenetic modulation of ß-cells by interferon-a via pnpt11-mir-26a-tet2 triggers autoimmune diabetes [rna-seq],diabetes mellitus (disease),null,null,diabetes,rna
epigenetic reprogramming of melanoma cells by vitamin c treatment,melanoma (disease),null,null,melanoma,treatment
epitope specific paired tcr repertoire sequencing,null,null,null,null,null
escherichia coli e482 genome sequencing project,null,null,null,null,escherichia coli
genes significantly down or up-regulated upon rnf219 knockdown. [rna-seq],null,null,null,null,rna
genome-wide maps of chromatin state and mrna expression patterns in leukemic cell lines,null,null,cell,cell,null
hct116  colorectal cancer cell raw sequence reads,colorectal cancer,colorectal cancer cell,malignant cell,colorectal cancer,null
hexim1 interacting rnas,null,null,null,null,null
homo sapiens strain:huvec raw sequence reads,null,huvec cell,homo sapiens,strain,null
human pancreatic ctcs express the ecm protein sparc,null,null,protein,human,protein
human serotonergic neurons,null,null,null,human,null
improved tgirt-seq methods for universal human reference rna and mirxplore mirna reference set,null,null,null,human,rna
inflammatory response and host-donor chimerism defined by single cell rna-seq of allograft biopsy,null,null,inflammatory response,chimerism,rna
integrated analysis of h2a.z isoforms reveals a complex interplay in gene regulation [wi38_siz1-siz2 rna-seq],null,null,null,null,rna
integrative auf1 par-clip analysis uncovers auf1 roles in translation and genome integrity (ribosome),null,null,null,null,null
interaction with cholangiocytes and neutrophils,null,null,null,neutrophils,null
k562 sh-lmo2_vs_control rna-sequencing,null,null,null,null,rna
klf4 knockdown in human keratinocytes,null,null,null,human,null
lncrna-dependent mechanisms of androgen receptor-regulated gene activation programs [gro-seq ii],null,null,null,receptor,androgen
m6a ip from bru-labeled and fragmented nascent rna.,null,null,null,null,rna
m7g methylation by mettl1 regulates let-7 micrornas [m7g-rip-seq kd a549],lupus erythematosus tumidus,null,null,null,null
"microrna suppresses prostate cancer stem cells and metastasis by inhibiting a cohort of pro-metastasis targets including cd44, rho gtpases and ezh2",prostate cancer,prostate gland,prostate gland,prostate cancer,null
mirna-sequencing data of extracellular vesicles derived from human induced pluripotent stem cells (ipsc-evs),null,stem,null,vesicles,null
modeling the pathogenesis of charcot-marie-tooth disease type 1a using patient-specific ipscs,charcot-marie-tooth disease type 1a,tooth,calcareous tooth,charcot-marie-tooth disease,null
modelling and rescuing neurodevelopmental defect of down syndrome using induced pluripotent stem cells from monozygotic twins discordant for trisomy 21 [rna-seq],thyroid hormone plasma membrane transport defect,stem,null,trisomy 21,rna
multiplex single cell profiling of chromatin accessibility by combinatorial cellular indexing [rna-seq],null,null,cell,cell,rna
next generation sequencing facilitates quantitative analysis of human breast cancer cell t47d and t47d-tr transcriptomes,breast cancer,breast cancer cell,breast,human,null
next generation sequencing of transcriptomes of cutaneous melanocytes and metastatic melanoma cell lines (mirna-seq),metastatic melanoma,melanoma cell,cell,metastatic melanoma,null
novel nut fusion oncogen in nut midline carcinoma identified in 24335 patient-derived cell line by rna-seq,nut midline carcinoma,null,cell,nut midline carcinoma,rna
p53 deficiency linked to btg2 loss enhances metastatic potential by promoting tumor growth in primary and metastatic sites in pdx models of triple negative breast cancer,neoplasm (disease),breast,growth,triple negative breast cancer,null
